user_id,install_date,channel,inviter_id,activated
1003091,2025-01-01,AppStore,,0
1002448,2025-01-01,TapTap,,1
1016890,2025-01-01,Friend_Referral,1003091,1
1012180,2025-01-01,Baidu_SEM,,1
1012184,2025-01-01,AppStore,,1
1016880,2025-01-01,TapTap,,1
1006755,2025-01-01,TapTap,,1
1000595,2025-01-01,TikTok_Ads,,0
1016856,2025-01-01,TikTok_Ads,,0
1000597,2025-01-01,TikTok_Ads,,0
1012147,2025-01-01,TapTap,,1
1012221,2025-01-01,TapTap,,1
1016827,2025-01-01,Baidu_SEM,,0
1001420,2025-01-01,AppStore,,1
1004729,2025-01-01,AppStore,,1
1016789,2025-01-01,TapTap,,1
1016784,2025-01-01,TikTok_Ads,,0
1001414,2025-01-01,Baidu_SEM,,1
1006724,2025-01-01,TapTap,,1
1012318,2025-01-01,AppStore,,1
1012332,2025-01-01,Baidu_SEM,,0
1012262,2025-01-01,TikTok_Ads,,1
1002814,2025-01-01,Baidu_SEM,,1
1006782,2025-01-01,Baidu_SEM,,0
1012131,2025-01-01,TikTok_Ads,,1
1000551,2025-01-01,AppStore,,0
1006905,2025-01-01,Friend_Referral,1012180,1
1011867,2025-01-01,Baidu_SEM,,1
1017041,2025-01-01,TapTap,,1
1011879,2025-01-01,Baidu_SEM,,0
1011897,2025-01-01,TikTok_Ads,,1
1002828,2025-01-01,TikTok_Ads,,1
1011964,2025-01-01,Friend_Referral,1016880,1
1000565,2025-01-01,Baidu_SEM,,0
1006882,2025-01-01,TikTok_Ads,,1
1011995,2025-01-01,TikTok_Ads,,1
1000569,2025-01-01,AppStore,,1
1012005,2025-01-01,Friend_Referral,1006782,1
1012017,2025-01-01,Baidu_SEM,,0
1016962,2025-01-01,AppStore,,0
1006861,2025-01-01,Baidu_SEM,,0
1012041,2025-01-01,Baidu_SEM,,0
1004670,2025-01-01,TapTap,,0
1006833,2025-01-01,TapTap,,1
1002819,2025-01-01,TapTap,,0
1002444,2025-01-01,TikTok_Ads,,0
1000618,2025-01-01,TikTok_Ads,,1
1012389,2025-01-01,AppStore,,1
1016750,2025-01-01,TapTap,,1
