user_id,login_date
1000001,2025-01-04
1000001,2025-01-05
1000002,2025-01-24
1000002,2025-01-25
1000002,2025-02-09
1000002,2025-02-20
1000002,2025-03-20
1000003,2025-01-05
1000004,2025-01-18
1000005,2025-01-20
1000005,2025-01-21
1000005,2025-01-23
1000005,2025-02-01
1000005,2025-02-09
1000005,2025-02-14
1000005,2025-02-16
1000005,2025-03-03
1000006,2025-01-23
1000006,2025-01-24
1000006,2025-03-02
1000007,2025-01-06
1000008,2025-01-08
1000009,2025-01-05
1000009,2025-01-06
1000009,2025-01-20
1000009,2025-01-21
1000009,2025-01-25
1000009,2025-01-29
1000010,2025-01-21
1000010,2025-01-22
1000010,2025-01-23
1000010,2025-01-24
1000010,2025-01-26
1000010,2025-01-29
1000010,2025-02-01
1000010,2025-02-04
1000010,2025-02-22
1000010,2025-03-22
1000011,2025-01-15
1000012,2025-01-25
1000012,2025-01-26
1000012,2025-01-27
1000012,2025-01-29
1000012,2025-01-30
1000012,2025-02-05
1000012,2025-02-07
1000012,2025-02-08
1000012,2025-02-17
1000012,2025-03-06
1000012,2025-03-07
1000013,2025-01-14
1000013,2025-01-15
1000013,2025-01-16
1000013,2025-01-20
1000013,2025-02-04
1000014,2025-01-07
1000014,2025-01-08
1000015,2025-01-07
1000015,2025-01-08
1000015,2025-01-10
1000015,2025-01-13
1000015,2025-01-14
1000015,2025-01-27
1000015,2025-02-10
1000015,2025-02-19
1000016,2025-01-05
1000016,2025-01-09
1000016,2025-01-26
1000016,2025-01-29
1000016,2025-02-07
1000017,2025-01-13
1000017,2025-01-14
1000017,2025-01-17
1000017,2025-01-19
1000017,2025-01-24
1000017,2025-02-02
1000017,2025-02-22
1000017,2025-02-24
1000017,2025-03-10
1000018,2025-01-06
1000019,2025-01-27
1000019,2025-01-28
1000019,2025-01-31
1000019,2025-02-01
1000019,2025-03-02
1000020,2025-01-31
1000020,2025-02-01
1000020,2025-02-02
1000020,2025-02-04
1000020,2025-02-05
1000020,2025-02-22
1000020,2025-03-15
1000020,2025-04-01
1000021,2025-01-05
1000022,2025-01-20
1000023,2025-01-07
1000024,2025-01-07
1000024,2025-01-08
1000024,2025-01-09
1000024,2025-02-09
1000025,2025-01-01
1000025,2025-01-09
1000025,2025-01-14
1000025,2025-01-16
1000025,2025-01-18
1000026,2025-01-14
1000026,2025-01-15
1000026,2025-01-19
1000026,2025-01-23
1000026,2025-01-24
1000026,2025-01-30
1000027,2025-01-08
1000027,2025-01-09
1000027,2025-01-12
1000027,2025-01-17
1000027,2025-02-17
1000027,2025-02-20
1000028,2025-01-03
1000028,2025-01-04
1000028,2025-01-10
1000028,2025-01-18
1000029,2025-01-04
1000030,2025-01-14
1000030,2025-01-26
1000031,2025-01-29
1000031,2025-01-30
1000031,2025-02-01
1000031,2025-02-09
1000031,2025-02-13
1000031,2025-02-21
1000032,2025-01-11
1000032,2025-01-12
1000032,2025-01-13
1000032,2025-01-31
1000032,2025-02-24
1000033,2025-01-23
1000033,2025-01-25
1000033,2025-01-28
1000033,2025-01-30
1000033,2025-02-08
1000033,2025-02-16
1000033,2025-03-24
1000034,2025-01-27
1000035,2025-01-05
1000036,2025-01-06
1000036,2025-01-08
1000036,2025-01-18
1000037,2025-01-29
1000038,2025-01-30
1000039,2025-01-17
1000039,2025-01-18
1000039,2025-01-19
1000039,2025-02-05
1000039,2025-03-12
1000040,2025-01-17
1000041,2025-01-23
1000041,2025-01-26
1000041,2025-01-27
1000041,2025-02-20
1000041,2025-03-15
1000042,2025-01-24
1000042,2025-01-25
1000042,2025-02-03
1000042,2025-03-05
1000043,2025-01-22
1000044,2025-01-26
1000044,2025-01-27
1000044,2025-01-28
